ortho,phon,lemme,cgram,nombre,freqlemfilms2,islem,syll,cv-cv,logfreq
tour,tuR,tour,NOM,s,193.82,1,tuR,CVC,5.266930409248898
vérité,veRite,vérité,NOM,s,193.24,1,ve-Ri-te,CV-CV-CV,5.2639334571772745
bébé,bebe,bébé,NOM,s,191.63,1,be-be,CV-CV,5.255566951319228
instant,1st@,instant,NOM,s,189.41,1,1s-t@,VC-CV,5.24391450562374
parent,paR@,parent,NOM,s,188.38,1,pa-R@,CV-CV,5.238461730236446
service,seRvis,service,NOM,s,187.67,1,seR-vis,CVC-CVC,5.234685634153255
plaisir,pleziR,plaisir,NOM,s,186.37,1,ple-ziR,CCV-CVC,5.227734481659474
soeur,s2R,soeur,NOM,s,184.99,1,s2R,CVC,5.2203023101329125
lieu,lj2,lieu,NOM,s,182.0,1,lj2,CYV,5.204007236527194
roi,Rwa,roi,NOM,s,177.53,1,Rwa,CYV,5.179140172003626
journée,ZuRne,journée,NOM,s,174.89,1,ZuR-ne,CVC-CV,5.164157776648917
numéro,nymeRo,numéro,NOM,s,173.48,1,ny-me-Ro,CV-CV-CV,5.156062895402323
musique,myzik,musique,NOM,s,169.8,1,my-zik,CV-CVC,5.134621862805225
faute,fot,faute,NOM,s,169.26,1,fot,CVC,5.131436585048828
mariage,maRjaZ,mariage,NOM,s,167.39,1,ma-RjaZ,CV-CYVC,5.120327016521602
bureau,byRo,bureau,NOM,s,167.13,1,by-Ro,CV-CV,5.118772551037279
route,Rut,route,NOM,s,166.72,1,Rut,CVC,5.116316358372884
café,kafe,café,NOM,s,163.56,1,ka-fe,CV-CV,5.097180506892684
confiance,k§fj@s,confiance,NOM,s,162.9,1,k§-fj@s,CV-CYVC,5.093137129481353
bonsoir,b§swaR,bonsoir,NOM,s,161.17,1,b§-swaR,CV-CYVC,5.0824603289973
compte,k§t,compte,NOM,s,160.95,1,k§t,CVC,5.08109437905559
téléphone,telefon,téléphone,NOM,s,160.8,1,te-le-fon,CV-CV-CVC,5.08016197863522
rêve,Rev,rêve,NOM,s,158.75,1,Rev,CVC,5.067331267693863
copain,kop1,copain,NOM,s,158.62,1,ko-p1,CV-CV,5.066512035092498
attention,at@sj§,attention,NOM,s,158.52,1,a-t@-sj§,V-CV-CYV,5.065881399157261
lettre,letR,lettre,NOM,s,156.77,1,letR,CVCC,5.054780400957381
esprit,espRi,esprit,NOM,s,155.82,1,es-pRi,VC-CCV,5.048702136668647
flic,flik,flic,NOM,s,153.5,1,flik,CCVC,5.033701218492838
capitaine,kapiten,capitaine,NOM,s,152.69,1,ka-pi-ten,CV-CV-CVC,5.028410377116943
force,foRs,force,NOM,s,151.96,1,foRs,CVCC,5.023617986387121
pièce,pjes,pièce,NOM,s,151.1,1,pjes,CYVC,5.017942531091843
plan,pl@,plan,NOM,s,147.54,1,pl@,CCV,4.994100003238223
prison,pRiz§,prison,NOM,s,147.49,1,pRi-z§,CCV-CV,4.99376105488325
premier,pR2mje,premier,NOM,s,145.76,1,pR2-mje,CCV-CYV,4.981962119570689
état,eta,état,NOM,s,145.72,1,e-ta,V-CV,4.981687658387726
carte,kaRt,carte,NOM,s,144.96,1,kaRt,CVCC,4.9764585321399055
président,pRezid@,président,NOM,s,143.39,1,pRe-zi-d@,CCV-CV-CV,4.965568888125407
ciel,sjel,ciel,NOM,s,142.32,1,sjel,CYVC,4.958078745999266
patron,patR§,patron,NOM,s,141.53,1,pa-tR§,CV-CCV,4.952512415309477
visage,vizaZ,visage,NOM,s,141.23,1,vi-zaZ,CV-CVC,4.95039047514558
médecin,meds1,médecin,NOM,s,140.19,1,med-s1,CVC-CV,4.94299935869783
rapport,RapoR,rapport,NOM,s,140.08,1,Ra-poR,CV-CVC,4.942214401855126
retour,R°tuR,retour,NOM,s,138.94,1,R°-tuR,CV-CVC,4.934042904999614
lumière,lymjeR,lumière,NOM,s,134.83,1,ly-mjeR,CV-CYVC,4.90401546732041
dollar,dolaR,dollar,NOM,s,134.1,1,do-laR,CV-CVC,4.8985865359995096
hôpital,opital,hôpital,NOM,s,133.15,1,o-pi-tal,V-CV-CVC,4.891477063292329
honneur,on2R,honneur,NOM,s,130.69,1,o-n2R,V-CVC,4.872828871778137
équipe,ekip,équipe,NOM,s,129.97,1,e-kip,V-CVC,4.867304424001526
cheval,S°val,cheval,NOM,s,129.12,1,S°-val,CV-CVC,4.860742978994697
maître,metR,maître,NOM,s,128.55,1,metR,CVCC,4.856318711619025
avion,avj§,avion,NOM,s,128.35,1,a-vj§,V-CYV,4.854761686436441
oncle,§kl,oncle,NOM,s,126.71,1,§kl,VCC,4.841901800014199
retard,R°taR,retard,NOM,s,126.45,1,R°-taR,CV-CVC,4.839847763942075
cadeau,kado,cadeau,NOM,s,125.79,1,ka-do,CV-CV,4.834614644826218
face,fas,face,NOM,s,125.32,1,fas,CVC,4.830871264040902
gueule,g2l,gueule,NOM,s,125.22,1,g2l,CVC,4.830072988911319
chemin,S°m1,chemin,NOM,s,125.18,1,S°-m1,CV-CV,4.829753500345893
général,ZeneRal,général,NOM,s,124.83,1,Ze-ne-Ral,CV-CV-CVC,4.826953612752121
bateau,bato,bateau,NOM,s,124.82,1,ba-to,CV-CV,4.826873500659238
million,milj§,million,NOM,s,124.7,1,mi-lj§,CV-CYV,4.825911654610288
sac,sak,sac,NOM,s,124.6,1,sak,CVC,4.825109408921249
seconde,s°g§d,seconde,NOM,s,124.54,1,s°-g§d,CV-CVC,4.824627752398857
erreur,eR2R,erreur,NOM,s,124.15,1,e-R2R,V-CVC,4.8214913174310965
soleil,solej,soleil,NOM,s,123.34,1,so-lej,CV-CVY,4.814945580330003
voyage,vwajaZ,voyage,NOM,s,123.17,1,vwa-jaZ,CYV-YVC,4.813566326839075
cheveu,S°v2,cheveu,NOM,s,121.27,1,S°-v2,CV-CV,4.798020289274611
papier,papje,papier,NOM,s,120.51,1,pa-pje,CV-CYV,4.791733566845611
sujet,syZe,sujet,NOM,s,120.42,1,sy-Ze,CV-CV,4.790986462462796
table,tabl,table,NOM,s,118.37,1,tabl,CVCC,4.773816156774096
agent,aZ@,agent,NOM,s,117.9,1,a-Z@,V-CV,4.769837655719386
pouvoir,puvwaR,pouvoir,NOM,s,117.87,1,pu-vwaR,CV-CYVC,4.769583170630415
sens,s@s,sens,NOM,s,117.57,1,s@s,CVC,4.767034751436403
message,mesaZ,message,NOM,s,117.11,1,me-saZ,CV-CVC,4.763114517951726
salle,sal,salle,NOM,s,116.91,1,sal,CVC,4.761405263377185
effet,efe,effet,NOM,s,116.75,1,e-fe,V-CV,4.7600357530796895
espèce,espes,espèce,NOM,s,116.51,1,es-pes,VC-CVC,4.757977964526907
sorte,soRt,sorte,NOM,s,114.73,1,soRt,CVCC,4.742582413422282
début,deby,début,NOM,s,114.31,1,de-by,CV-CV,4.738914930851406
jambe,Z@b,jambe,NOM,s,113.82,1,Z@b,CVC,4.7346191317548065
sécurité,sekyRite,sécurité,NOM,s,113.17,1,se-ky-Ri-te,CV-CV-CV-CV,4.7288919966038625
avocat,avoka,avocat,NOM,s,112.69,1,a-vo-ka,V-CV-CV,4.72464157335405
client,klij@,client,NOM,s,112.12,1,kli-j@,CCV-YV,4.719570618197724
courant,kuR@,courant,NOM,s,111.58,1,ku-R@,CV-CV,4.714742718634941
peuple,p2pl,peuple,NOM,s,111.36,1,p2pl,CVCC,4.712769094574212
dame,dam,dame,NOM,s,111.2,1,dam,CVC,4.711331281096653
journal,ZuRnal,journal,NOM,s,110.8,1,ZuR-nal,CVC-CVC,4.707727676839852
loi,lwa,loi,NOM,s,110.12,1,lwa,CYV,4.701571588374248
gosse,gos,gosse,NOM,s,109.96,1,gos,CVC,4.70011757271824
fric,fRik,fric,NOM,s,109.01,1,fRik,CCVC,4.691440538486879
situation,sit8asj§,situation,NOM,s,108.99,1,si-t8a-sj§,CV-CYV-CYV,4.691257052416168
accident,aksid@,accident,NOM,s,108.21,1,ak-si-d@,VC-CV-CV,4.6840747077121385
doute,dut,doute,NOM,s,108.18,1,dut,CVC,4.683797430828138
soldat,solda,soldat,NOM,s,107.92,1,sol-da,CVC-CV,4.681391138511376
preuve,pR2v,preuve,NOM,s,107.54,1,pR2v,CCVC,4.677863801267653
