ortho,phon,lemme,cgram,nombre,freqlemfilms2,islem,syll,cv-cv,logfreq
plat,pla,plat,NOM,s,30.24,1,pla,CCV,3.4091688581841715
nerf,neR,nerf,NOM,s,30.12,1,neR,CVC,3.405192722979302
feuille,f2j,feuille,NOM,s,30.1,1,f2j,CVY,3.4045284940084475
immeuble,im2bl,immeuble,NOM,s,30.03,1,i-m2bl,V-CVCC,3.4022002119930246
souffrance,sufR@s,souffrance,NOM,s,30.02,1,su-fR@s,CV-CCVC,3.4018671573123593
humain,ym1,humain,NOM,s,30.0,1,y-m1,V-CV,3.4012007149899333
parfum,paRf1,parfum,NOM,s,30.0,1,paR-f1,CVC-CV,3.4012007149899333
labo,labo,labo,NOM,s,29.95,1,la-bo,CV-CV,3.399532663454048
assurance,asyR@s,assurance,NOM,s,29.8,1,a-sy-R@s,V-CV-CVC,3.394511749210426
station,stasj§,station,NOM,s,29.71,1,sta-sj§,CCV-CYV,3.391487055338929
bagage,bagaZ,bagage,NOM,s,29.69,1,ba-gaZ,CV-CVC,3.390813656907416
aventure,av@tyR,aventure,NOM,s,29.66,1,a-v@-tyR,V-CV-CVC,3.38980270824827
fac,fak,fac,NOM,s,29.65,1,fak,CVC,3.3894654981193284
citoyen,sitwaj1,citoyen,NOM,s,29.6,1,si-twa-j1,CV-CYV-YV,3.3877777397026865
peinture,p1tyR,peinture,NOM,s,29.53,1,p1-tyR,CV-CVC,3.385410082136823
ménage,menaZ,ménage,NOM,s,29.46,1,me-naZ,CV-CVC,3.383036805461853
procureur,pRokyR2R,procureur,NOM,s,29.45,1,pRo-ky-R2R,CCV-CV-CVC,3.3826973056775693
siège,sjeZ,siège,NOM,s,29.44,1,sjeZ,CYVC,3.382357690594037
lendemain,l@d°m1,lendemain,NOM,s,29.29,1,l@-d°-m1,CV-CV-CV,3.3772495749683307
traitement,tRet°m@,traitement,NOM,s,29.23,1,tRe-t°-m@,CCV-CV-CV,3.3751990002599643
centaine,s@ten,centaine,NOM,s,29.22,1,s@-ten,CV-CVC,3.374856828630181
masque,mask,masque,NOM,s,29.18,1,mask,CVCC,3.3734869700935652
couloir,kulwaR,couloir,NOM,s,29.17,1,ku-lwaR,CV-CYVC,3.3731442120533903
qualité,kalite,qualité,NOM,s,29.13,1,ka-li-te,CV-CV-CV,3.371772003852509
froid,fRwa,froid,NOM,s,29.11,1,fRwa,CCYV,3.3710851929972514
fuite,f8it,fuite,NOM,s,29.09,1,f8it,CYVC,3.3703979101086268
foyer,fwaje,foyer,NOM,s,28.95,1,fwa-je,CYV-YV,3.3655736582444717
cesse,ses,cesse,NOM,s,28.88,1,ses,CVC,3.363152776622509
lire,liR,lire,NOM,s,28.88,1,liR,CVC,3.363152776622509
produit,pRod8i,produit,NOM,s,28.8,1,pRo-d8i,CCV-CYV,3.3603788593580943
essai,ese,essai,NOM,s,28.78,1,e-se,V-CV,3.3596841760883485
jeunesse,Z2nes,jeunesse,NOM,s,28.71,1,Z2-nes,CV-CVC,3.357248977233838
job,dZob,job,NOM,s,28.62,1,dZob,CCVC,3.3541092681822984
partenaire,paRt°neR,partenaire,NOM,s,28.54,1,paR-t°-neR,CVC-CV-CVC,3.3513101158967915
joueur,Zw2R,joueur,NOM,s,28.45,1,Zw2R,CYVC,3.348151675504651
entreprise,@tR°pRiz,entreprise,NOM,s,28.36,1,@-tR°-pRiz,V-CCV-CCVC,3.344983227750799
miroir,miRwaR,miroir,NOM,s,28.35,1,mi-RwaR,CV-CYVC,3.344630557504401
vengeance,v@Z@s,vengeance,NOM,s,28.27,1,v@-Z@s,CV-CVC,3.3418047090179552
prise,pRiz,prise,NOM,s,28.25,1,pRiz,CCVC,3.3410969974091937
pause,poz,pause,NOM,s,28.24,1,poz,CVC,3.340742953695259
crédit,kRedi,crédit,NOM,s,28.21,1,kRe-di,CCV-CV,3.3396800698498765
maire,meR,maire,NOM,s,28.17,1,meR,CVC,3.3382611317577346
région,ReZj§,région,NOM,s,28.16,1,Re-Zj§,CV-CYV,3.3379060824199
môme,mom,môme,NOM,s,28.15,1,mom,CVC,3.337550906977258
origine,oRiZin,origine,NOM,s,28.07,1,o-Ri-Zin,V-CV-CVC,3.334704952889711
approche,apRoS,approche,NOM,s,28.03,1,a-pRoS,V-CCVC,3.3332789327764694
goutte,gut,goutte,NOM,s,28.03,1,gut,CVC,3.3332789327764694
mystère,misteR,mystère,NOM,s,28.03,1,mis-teR,CVC-CVC,3.3332789327764694
foule,ful,foule,NOM,s,27.81,1,ful,CVC,3.325399264068247
royaume,Rwajom,royaume,NOM,s,27.79,1,Rwa-jom,CYV-YVC,3.3246798421646346
studio,stydjo,studio,NOM,s,27.77,1,sty-djo,CCV-CYV,3.3239599023205066
pour,puR,pour,NOM,s,27.69,1,puR,CVC,3.3210749485884117
désert,dezeR,désert,NOM,s,27.66,1,de-zeR,CV-CVC,3.319990941559072
puce,pys,puce,NOM,s,27.65,1,pys,CVC,3.3196293445983316
habit,abi,habit,NOM,s,27.64,1,a-bi,V-CV,3.319267616837932
imagination,imaZinasj§,imagination,NOM,s,27.64,1,i-ma-Zi-na-sj§,V-CV-CV-CV-CYV,3.319267616837932
poupée,pupe,poupée,NOM,s,27.59,1,pu-pe,CV-CV,3.3174570127242573
bâtiment,batim@,bâtiment,NOM,s,27.58,1,ba-ti-m@,CV-CV-CV,3.317094498174391
espion,espj§,espion,NOM,s,27.57,1,es-pj§,VC-CYV,3.316731852160067
ambulance,@byl@s,ambulance,NOM,s,27.55,1,@-by-l@s,V-CV-CVC,3.3160061653564012
vente,v@t,vente,NOM,s,27.54,1,v@t,CVC,3.315643124375979
sergent,seRZ@,sergent,NOM,s,27.36,1,seR-Z@,CVC-CV,3.3090857477184303
enterrement,@teR°m@,enterrement,NOM,s,27.33,1,@-te-R°-m@,V-CV-CV-CV,3.307988658916085
suicide,s8isid,suicide,NOM,s,27.33,1,s8i-sid,CYV-CVC,3.307988658916085
monnaie,mone,monnaie,NOM,s,27.31,1,mo-ne,CV-CV,3.3072565971413046
chiffre,SifR,chiffre,NOM,s,27.28,1,SifR,CVCC,3.3061574986576923
vampire,v@piR,vampire,NOM,s,27.27,1,v@-piR,CV-CVC,3.305790863884144
fromage,fRomaZ,fromage,NOM,s,27.22,1,fRo-maZ,CCV-CVC,3.303955670985859
lâche,laS,lâche,NOM,s,27.16,1,laS,CVC,3.3017489845688424
poème,poem,poème,NOM,s,27.03,1,po-em,CV-VC,3.2969510598745577
rayon,Rej§,rayon,NOM,s,27.0,1,Re-j§,CV-YV,3.295840569701174
taule,tol,taule,NOM,s,27.0,1,tol,CVC,3.295840569701174
suivant,s8iv@,suivant,NOM,s,26.99,1,s8i-v@,CYV-CV,3.2954701320990036
souffle,sufl,souffle,NOM,s,26.98,1,sufl,CVCC,3.295099557221963
flamme,flam,flamme,NOM,s,26.93,1,flam,CCVC,3.2932446201474708
tuyau,t8ijo,tuyau,NOM,s,26.73,1,t8i-jo,CYV-YV,3.2857902712586817
demi-heure,d°mi2R,demi-heure,NOM,s,26.65,1,d°-mi-2R,CV-CV-VC,3.282792902950029
pari,paRi,pari,NOM,s,26.61,1,pa-Ri,CV-CV,3.2812908429682563
maîtresse,metRes,maîtresse,NOM,s,26.59,1,me-tRes,CV-CCVC,3.2805389660601922
asile,azil,asile,NOM,s,26.56,1,a-zil,V-CVC,3.2794100896613863
boutique,butik,boutique,NOM,s,26.53,1,bu-tik,CV-CVC,3.2782799374602978
secteur,sekt2R,secteur,NOM,s,26.5,1,sek-t2R,CVC-CVC,3.2771485065699624
poitrine,pwatRin,poitrine,NOM,s,26.45,1,pwa-tRin,CYV-CCVC,3.275259939015498
salaire,saleR,salaire,NOM,s,26.43,1,sa-leR,CV-CVC,3.274503512188306
réaction,Reaksj§,réaction,NOM,s,26.41,1,Re-ak-sj§,CV-VC-CYV,3.273746512746401
otage,otaZ,otage,NOM,s,26.4,1,o-taZ,V-CVC,3.2733677980238842
télévision,televizj§,télévision,NOM,s,26.38,1,te-le-vi-zj§,CV-CV-CV-CYV,3.272609938032552
principe,pR1sip,principe,NOM,s,26.36,1,pR1-sip,CCV-CVC,3.2718515032538176
traître,tRetR,traître,NOM,s,26.36,1,tRetR,CCVCC,3.2718515032538176
futur,fytyR,futur,NOM,s,26.33,1,fy-tyR,CV-CVC,3.270712771450113
émotion,emosj§,émotion,NOM,s,26.33,1,e-mo-sj§,V-CV-CYV,3.270712771450113
monseigneur,m§seN2R,monseigneur,NOM,s,26.26,1,m§-se-N2R,CV-CV-CVC,3.2680506769405144
explosion,eksplozj§,explosion,NOM,s,26.14,1,ek-splo-zj§,VC-CCCV-CYV,3.263470533743464
dette,det,dette,NOM,s,26.13,1,det,CVC,3.2630879065439506
bleu,bl2,bleu,NOM,s,26.12,1,bl2,CCV,3.2627051328848222
jeudi,Z2di,jeudi,NOM,s,26.09,1,Z2-di,CV-CV,3.2615559320274548
abri,abRi,abri,NOM,s,25.9,1,a-bRi,V-CCV,3.2542468297018994
prénom,pRen§,prénom,NOM,s,25.88,1,pRe-n§,CCV-CV,3.25347433361287
possibilité,posibilite,possibilité,NOM,s,25.87,1,po-si-bi-li-te,CV-CV-CV-CV-CV,3.253087861671719
lampe,l@p,lampe,NOM,s,25.86,1,l@p,CVC,3.2527012403122595
portrait,poRtRe,portrait,NOM,s,25.73,1,poR-tRe,CVC-CCV,3.2476615127998976
copie,kopi,copie,NOM,s,25.7,1,ko-pi,CV-CV,3.2464948829441878
magie,maZi,magie,NOM,s,25.66,1,ma-Zi,CV-CV,3.244937256296031
pub,p2b,pub,NOM,s,25.65,1,p2b,CVC,3.2445474702446564
période,peRjod,période,NOM,s,25.65,1,pe-Rjod,CV-CYVC,3.2445474702446564
abruti,abRyti,abruti,NOM,s,25.64,1,a-bRy-ti,V-CCV-CV,3.24415753220087
serviette,seRvjet,serviette,NOM,s,25.64,1,seR-vjet,CVC-CYVC,3.24415753220087
semblant,s@bl@,semblant,NOM,s,25.63,1,s@-bl@,CV-CCV,3.2437674420460896
empereur,@p°R2R,empereur,NOM,s,25.55,1,@-p°-R2R,V-CV-CVC,3.240641230536379
passeport,paspoR,passeport,NOM,s,25.55,1,pas-poR,CVC-CVC,3.240641230536379
extérieur,eksteRj2R,extérieur,NOM,s,25.53,1,ek-ste-Rj2R,VC-CCV-CYVC,3.23985814820616
info,1fo,info,NOM,s,25.5,1,1-fo,V-CV,3.2386823737253185
jouet,Zwe,jouet,NOM,s,25.5,1,Zwe,CYV,3.2386823737253185
ancien,@sj1,ancien,NOM,s,25.42,1,@-sj1,V-CYV,3.2355401996638773
meurtrier,m2RtRije,meurtrier,NOM,s,25.38,1,m2R-tRi-je,CVC-CCV-YV,3.2339654023888023
ascenseur,as@s2R,ascenseur,NOM,s,25.34,1,a-s@-s2R,V-CV-CVC,3.2323881212151195
saloperie,salop°Ri,saloperie,NOM,s,25.27,1,sa-lo-p°-Ri,CV-CV-CV-CV,3.2296218786538478
matériel,mateRjel,matériel,NOM,s,25.26,1,ma-te-Rjel,CV-CV-CYVC,3.229226075742696
garage,gaRaZ,garage,NOM,s,25.25,1,ga-RaZ,CV-CVC,3.2288301161095663
mandat,m@da,mandat,NOM,s,25.25,1,m@-da,CV-CV,3.2288301161095663
moto,moto,moto,NOM,s,25.23,1,mo-to,CV-CV,3.228037726180585
sable,sabl,sable,NOM,s,25.23,1,sabl,CVCC,3.228037726180585
figure,figyR,figure,NOM,s,25.18,1,fi-gyR,CV-CVC,3.2260540000141926
chute,Syt,chute,NOM,s,25.15,1,Syt,CVC,3.2248618726809846
attente,at@t,attente,NOM,s,25.07,1,a-t@t,V-CVC,3.221675900993519
donne,don,donne,NOM,s,25.03,1,don,CVC,3.2200791006414553
fièvre,fjevR,fièvre,NOM,s,25.0,1,fjevR,CYVCC,3.218879824860201
révolution,Revolysj§,révolution,NOM,s,25.0,1,Re-vo-ly-sj§,CV-CV-CV-CYV,3.218879824860201
existence,egzist@s,existence,NOM,s,24.98,1,eg-zis-t@s,VC-CVC-CVC,3.218079507891981
océan,ose@,océan,NOM,s,24.89,1,o-se-@,V-CV-V,3.214470134049212
méthode,metod,méthode,NOM,s,24.87,1,me-tod,CV-CVC,3.2136662787159547
document,dokym@,document,NOM,s,24.86,1,do-ky-m@,CV-CV-CV,3.213264108600621
kilomètre,kilometR,kilomètre,NOM,s,24.8,1,ki-lo-metR,CV-CV-CVCC,3.2108476854208714
nation,nasj§,nation,NOM,s,24.8,1,na-sj§,CV-CYV,3.2108476854208714
protection,pRoteksj§,protection,NOM,s,24.78,1,pRo-tek-sj§,CCV-CVC-CYV,3.210040911705364
manque,m@k,manque,NOM,s,24.77,1,m@k,CVC,3.209637280634823
chinois,Sinwa,chinois,NOM,s,24.73,1,Si-nwa,CV-CYV,3.208021125196803
écoute,ekut,écoute,NOM,s,24.73,1,e-kut,V-CVC,3.208021125196803
innocent,inos@,innocent,NOM,s,24.68,1,i-no-s@,V-CV-CV,3.205997250892836
religion,R°liZj§,religion,NOM,s,24.68,1,R°-li-Zj§,CV-CV-CYV,3.205997250892836
rose,Roz,rose,NOM,s,24.67,1,Roz,CVC,3.2055919840393328
mouche,muS,mouche,NOM,s,24.65,1,muS,CVC,3.2047809572756023
avantage,av@taZ,avantage,NOM,s,24.63,1,a-v@-taZ,V-CV-CVC,3.2039692722135262
détective,detektiv,détective,NOM,s,24.61,1,de-tek-tiv,CV-CVC-CVC,3.203156927783575
panne,pan,panne,NOM,s,24.59,1,pan,CVC,3.2023439229136104
ours,uRs,ours,NOM,s,24.57,1,uRs,VCC,3.2015302565288755
écrivain,ekRiv1,écrivain,NOM,s,24.57,1,e-kRi-v1,V-CCV-CV,3.2015302565288755
commission,komisj§,commission,NOM,s,24.5,1,ko-mi-sj§,CV-CV-CYV,3.1986771991750045
poussière,pusjeR,poussière,NOM,s,24.4,1,pu-sjeR,CV-CYVC,3.194587230651414
pêche,peS,pêche,NOM,s,24.39,1,peS,CVC,3.194177312260424
échec,eSek,échec,NOM,s,24.31,1,e-Sek,V-CVC,3.190891901853097
inconnu,1kony,inconnu,NOM,s,24.25,1,1-ko-ny,V-CV-CV,3.18842074108633
ticket,tike,ticket,NOM,s,24.25,1,ti-ke,CV-CV,3.18842074108633
foot,fut,foot,NOM,s,24.18,1,fut,CVC,3.1855299808273916
barbe,baRb,barbe,NOM,s,24.15,1,baRb,CVCC,3.184288520876758
élément,elem@,élément,NOM,s,24.03,1,e-le-m@,V-CV-CV,3.1793072112045544
courrier,kuRje,courrier,NOM,s,23.98,1,ku-Rje,CV-CYV,3.177224319732458
sud,syd,sud,NOM,s,23.95,1,syd,CVC,3.175972499213552
bagnole,baNol,bagnole,NOM,s,23.93,1,ba-Nol,CV-CVC,3.1751370807665444
ouvrier,uvRije,ouvrier,NOM,s,23.93,1,u-vRi-je,V-CCV-YV,3.1751370807665444
canard,kanaR,canard,NOM,s,23.85,1,ka-naR,CV-CVC,3.1717884101976774
cérémonie,seRemoni,cérémonie,NOM,s,23.82,1,se-Re-mo-ni,CV-CV-CV-CV,3.1705297620711548
italien,italj1,italien,NOM,s,23.82,1,i-ta-lj1,V-CV-CYV,3.1705297620711548
vierge,vjeRZ,vierge,NOM,s,23.79,1,vjeRZ,CYVCC,3.169269527752858
annonce,an§s,annonce,NOM,s,23.76,1,a-n§s,V-CVC,3.1680077032397964
roman,Rom@,roman,NOM,s,23.73,1,Ro-m@,CV-CV,3.1667442845138036
écran,ekR@,écran,NOM,s,23.68,1,e-kR@,V-CCV,3.164635032979861
mardi,maRdi,mardi,NOM,s,23.65,1,maR-di,CVC-CV,3.163367343258812
piscine,pisin,piscine,NOM,s,23.62,1,pi-sin,CV-CVC,3.162098044460508
discussion,diskysj§,discussion,NOM,s,23.58,1,dis-ky-sj§,CVC-CV-CYV,3.1604031359823357
estomac,estoma,estomac,NOM,s,23.56,1,es-to-ma,VC-CV-CV,3.1595546032565514
auteur,ot2R,auteur,NOM,s,23.52,1,o-t2R,V-CVC,3.157855374722068
médecine,medsin,médecine,NOM,s,23.51,1,med-sin,CVC-CVC,3.157430116052077
activité,aktivite,activité,NOM,s,23.47,1,ak-ti-vi-te,VC-CV-CV-CV,3.15572727061227
bonbon,b§b§,bonbon,NOM,s,23.45,1,b§-b§,CV-CV,3.1548747592755197
épreuve,epR2v,épreuve,NOM,s,23.43,1,e-pR2v,V-CCVC,3.1540215205430333
communauté,komynote,communauté,NOM,s,23.36,1,ko-my-no-te,CV-CV-CV-CV,3.1510294387727815
patrie,patRi,patrie,NOM,s,23.36,1,pa-tRi,CV-CCV,3.1510294387727815
adulte,adylt,adulte,NOM,s,23.34,1,a-dylt,V-CVCC,3.1501729113393773
humanité,ymanite,humanité,NOM,s,23.31,1,y-ma-ni-te,V-CV-CV-CV,3.1488867430427536
excellence,eksel@s,excellence,NOM,s,23.29,1,ek-se-l@s,VC-CV-CVC,3.14802837757531
paysan,peiz@,paysan,NOM,s,23.29,1,pe-i-z@,CV-V-CV,3.14802837757531
analyse,analiz,analyse,NOM,s,23.26,1,a-na-liz,V-CV-CVC,3.146739446307416
cirque,siRk,cirque,NOM,s,23.25,1,siRk,CVCC,3.1463094330993844
divorce,divoRs,divorce,NOM,s,23.23,1,di-voRs,CV-CVCC,3.145448851551356
serveur,seRv2R,serveur,NOM,s,23.21,1,seR-v2R,CVC-CVC,3.144587528764785
agence,aZ@s,agence,NOM,s,23.15,1,a-Z@s,V-CVC,3.141999100177341
cancer,k@seR,cancer,NOM,s,23.15,1,k@-seR,CV-CVC,3.141999100177341
couronne,kuRon,couronne,NOM,s,23.15,1,ku-Ron,CV-CVC,3.141999100177341
poudre,pudR,poudre,NOM,s,23.11,1,pudR,CVCC,3.1402697514080393
sacrifice,sakRifis,sacrifice,NOM,s,23.11,1,sa-kRi-fis,CV-CCV-CVC,3.1402697514080393
pizza,pidza,pizza,NOM,s,23.09,1,pid-za,CVC-CV,3.1394039542361942
sous-titre,sutitR,sous-titre,NOM,s,23.09,1,su-titR,CV-CVCC,3.1394039542361942
danseur,d@s2R,danseur,NOM,s,23.05,1,d@-s2R,CV-CVC,3.1376701078280407
attitude,atityd,attitude,NOM,s,23.03,1,a-ti-tyd,V-CV-CVC,3.1368020559855636
conseiller,k§seje,conseiller,NOM,s,23.02,1,k§-se-je,CV-CV-YV,3.1363677473329545
charme,SaRm,charme,NOM,s,22.92,1,SaRm,CVCC,3.1320142548387664
pompe,p§p,pompe,NOM,s,22.92,1,p§p,CVC,3.1320142548387664
responsable,Resp§sabl,responsable,NOM,s,22.92,1,Res-p§-sabl,CVC-CV-CVCC,3.1320142548387664
séance,se@s,séance,NOM,s,22.91,1,se-@s,CV-VC,3.1315778613620324
neveu,n°v2,neveu,NOM,s,22.9,1,n°-v2,CV-CV,3.1311412773628864
robot,Robo,robot,NOM,s,22.89,1,Ro-bo,CV-CV,3.1307045026748974
absence,aps@s,absence,NOM,s,22.86,1,ap-s@s,VC-CVC,3.12939303281029
propriété,pRopRijete,propriété,NOM,s,22.7,1,pRo-pRi-je-te,CCV-CCV-YV-CV,3.1223693297639974
surface,syRfas,surface,NOM,s,22.7,1,syR-fas,CVC-CVC,3.1223693297639974
huile,8il,huile,NOM,s,22.68,1,8il,YVC,3.1214878880209067
instrument,1stRym@,instrument,NOM,s,22.67,1,1s-tRy-m@,VC-CCV-CV,3.121046875625721
malin,mal1,malin,NOM,s,22.67,1,ma-l1,CV-CV,3.121046875625721
exercice,egzeRsis,exercice,NOM,s,22.66,1,eg-zeR-sis,VC-CVC-CVC,3.120605668652788
blond,bl§,blond,NOM,s,22.65,1,bl§,CCV,3.120164266930334
culture,kyltyR,culture,NOM,s,22.65,1,kyl-tyR,CVC-CVC,3.120164266930334
personnel,peRsonel,personnel,NOM,s,22.65,1,peR-so-nel,CVC-CV-CVC,3.120164266930334
poète,poet,poète,NOM,s,22.65,1,po-et,CV-VC,3.120164266930334
pilule,pilyl,pilule,NOM,s,22.64,1,pi-lyl,CV-CVC,3.1197226702863583
facture,faktyR,facture,NOM,s,22.61,1,fak-tyR,CVC-CVC,3.1183967091018583
ceinture,s1tyR,ceinture,NOM,s,22.57,1,s1-tyR,CV-CVC,3.116626021479797
kilo,kilo,kilo,NOM,s,22.54,1,ki-lo,CV-CV,3.11529594515902
associé,asosje,associé,NOM,s,22.51,1,a-so-sje,V-CV-CYV,3.1139640973787865
proposition,pRopozisj§,proposition,NOM,s,22.43,1,pRo-po-zi-sj§,CCV-CV-CV-CYV,3.1104038068369357
cave,kav,cave,NOM,s,22.4,1,kav,CVC,3.1090654231367436
instruction,1stRyksj§,instruction,NOM,s,22.37,1,1s-tRyk-sj§,VC-CCVC-CYV,3.1077252457647333
canon,kan§,canon,NOM,s,22.22,1,ka-n§,CV-CV,3.100997284651402
piano,pjano,piano,NOM,s,22.22,1,pja-no,CYV-CV,3.100997284651402
compagnon,k§paN§,compagnon,NOM,s,22.2,1,k§-pa-N§,CV-CV-CV,3.100096793372593
cercueil,seRk2j,cercueil,NOM,s,22.14,1,seR-k2j,CVC-CVY,3.0973904439821243
indice,1dis,indice,NOM,s,22.13,1,1-dis,V-CVC,3.096938672805573
comédie,komedi,comédie,NOM,s,22.11,1,ko-me-di,CV-CV-CV,3.096034517699471
rumeur,Rym2R,rumeur,NOM,s,22.11,1,Ry-m2R,CV-CVC,3.096034517699471
véhicule,veikyl,véhicule,NOM,s,22.08,1,ve-i-kyl,CV-V-CVC,3.0946767503841457
phrase,fRaz,phrase,NOM,s,22.01,1,fRaz,CCVC,3.0915014389174176
navire,naviR,navire,NOM,s,21.98,1,na-viR,CV-CVC,3.090137498555663
cabinet,kabine,cabinet,NOM,s,21.97,1,ka-bi-ne,CV-CV-CV,3.0896824380475163
tenue,t°ny,tenue,NOM,s,21.96,1,t°-ny,CV-CV,3.0892271703650236
fonction,f§ksj§,fonction,NOM,s,21.95,1,f§k-sj§,CVC-CYV,3.088771695319459
tasse,tas,tasse,NOM,s,21.89,1,tas,CVC,3.0860344798203627
blessé,blese,blessé,NOM,s,21.88,1,ble-se,CCV-CV,3.0855775479272483
plante,pl@t,plante,NOM,s,21.86,1,pl@t,CCVC,3.0846630573033456
circonstance,siRk§st@s,circonstance,NOM,s,21.8,1,siR-k§s-t@s,CVC-CVC-CVC,3.0819145569404856
salade,salad,salade,NOM,s,21.8,1,sa-lad,CV-CVC,3.0819145569404856
salopard,salopaR,salopard,NOM,s,21.8,1,sa-lo-paR,CV-CV-CVC,3.0819145569404856
cercle,seRkl,cercle,NOM,s,21.77,1,seRkl,CVCCC,3.0805374687131684
gouverneur,guveRn2R,gouverneur,NOM,s,21.73,1,gu-veR-n2R,CV-CVC-CVC,3.0786983961905614
garce,gaRs,garce,NOM,s,21.71,1,gaRs,CVCC,3.077777590051863
anneau,ano,anneau,NOM,s,21.61,1,a-no,V-CV,3.0731607979953623
chagrin,SagR1,chagrin,NOM,s,21.61,1,Sa-gR1,CV-CCV,3.0731607979953623
coupable,kupabl,coupable,NOM,s,21.6,1,ku-pabl,CV-CVCC,3.072697944309032
pré,pRe,pré,NOM,s,21.59,1,pRe,CCV,3.0722348762899587
vague,vag,vague,NOM,s,21.59,1,vag,CVC,3.0722348762899587
fleuve,fl2v,fleuve,NOM,s,21.58,1,fl2v,CCVC,3.0717715937395487
domaine,domen,domaine,NOM,s,21.57,1,do-men,CV-CVC,3.071308096458932
mercredi,meRkR°di,mercredi,NOM,s,21.48,1,meR-kR°-di,CVC-CCV-CV,3.0671269251233095
placard,plakaR,placard,NOM,s,21.47,1,pla-kaR,CCV-CVC,3.0666612695416964
fan,fan,fan,NOM,s,21.43,1,fan,CVC,3.0647964758301747
jugement,ZyZ°m@,jugement,NOM,s,21.43,1,Zy-Z°-m@,CV-CV-CV,3.0647964758301747
magazine,magazin,magazine,NOM,s,21.42,1,ma-ga-zin,CV-CV-CVC,3.0643297335427855
renfort,R@foR,renfort,NOM,s,21.41,1,R@-foR,CV-CVC,3.063862773305303
réputation,Repytasj§,réputation,NOM,s,21.4,1,Re-py-ta-sj§,CV-CV-CV-CYV,3.063395594914084
poubelle,pubel,poubelle,NOM,s,21.34,1,pu-bel,CV-CVC,3.0605879318982416
vidéo,video,vidéo,NOM,s,21.34,1,vi-de-o,CV-CV-V,3.0605879318982416
for,foR,for,NOM,s,21.32,1,foR,CVC,3.0596502897181637
degré,d°gRe,degré,NOM,s,21.3,1,d°-gRe,CV-CCV,3.0587117675400397
pile,pil,pile,NOM,s,21.3,1,pil,CVC,3.0587117675400397
tension,t@sj§,tension,NOM,s,21.28,1,t@-sj§,CV-CYV,3.0577723637105225
règlement,Regl°m@,règlement,NOM,s,21.27,1,Re-gl°-m@,CV-CCV-CV,3.057302330658546
assiette,asjet,assiette,NOM,s,21.24,1,a-sjet,V-CYVC,3.0558909044605835
serment,seRm@,serment,NOM,s,21.19,1,seR-m@,CVC-CV,3.0535340914762457
chanteur,S@t2R,chanteur,NOM,s,21.17,1,S@-t2R,CV-CVC,3.052589808801182
merveille,meRvej,merveille,NOM,s,21.16,1,meR-vej,CVC-CVY,3.0521173328768523
ingénieur,1Zenj2R,ingénieur,NOM,s,21.12,1,1-Ze-nj2R,V-CV-CYVC,3.0502251936753364
incroyable,1kRwajabl,incroyable,NOM,s,21.11,1,1k-Rwa-jabl,VC-CYV-YVCC,3.049751598940435
réserve,RezeRv,réserve,NOM,s,21.11,1,Re-zeRv,CV-CVCC,3.049751598940435
autorisation,otoRizasj§,autorisation,NOM,s,21.1,1,o-to-Ri-za-sj§,V-CV-CV-CV-CYV,3.049277779807283
voyou,vwaju,voyou,NOM,s,21.09,1,vwa-ju,CYV-YV,3.048803736063131
tache,taS,tache,NOM,s,21.04,1,taS,CVC,3.0464301407099255
appétit,apeti,appétit,NOM,s,20.98,1,a-pe-ti,V-CV-CV,3.0435743694010244
organisation,oRganizasj§,organisation,NOM,s,20.97,1,oR-ga-ni-za-sj§,VC-CV-CV-CV-CYV,3.0430976136196732
riche,RiS,riche,NOM,s,20.95,1,RiS,CVC,3.0421434196264445
comportement,k§poRt°m@,comportement,NOM,s,20.94,1,k§-poR-t°-m@,CV-CVC-CV-CV,3.0416659809801763
scandale,sk@dal,scandale,NOM,s,20.92,1,sk@-dal,CCV-CVC,3.0407104193000203
lion,lj§,lion,NOM,s,20.86,1,lj§,CYV,3.03783824342499
baron,baR§,baron,NOM,s,20.82,1,ba-R§,CV-CV,3.0359188662492556
tomate,tomat,tomate,NOM,s,20.77,1,to-mat,CV-CVC,3.0335144525129256
congé,k§Ze,congé,NOM,s,20.74,1,k§-Ze,CV-CV,3.0320690243905286
musée,myze,musée,NOM,s,20.7,1,my-ze,CV-CV,3.030138531177529
dur,dyR,dur,NOM,s,20.68,1,dyR,CVC,3.029171885218479
arrestation,aRestasj§,arrestation,NOM,s,20.59,1,a-Res-ta-sj§,V-CVC-CV-CYV,3.0248103777544704
tournée,tuRne,tournée,NOM,s,20.57,1,tuR-ne,CVC-CV,3.0238385651017605
diamant,djam@,diamant,NOM,s,20.56,1,dja-m@,CYV-CV,3.0233523043883657
tradition,tRadisj§,tradition,NOM,s,20.56,1,tRa-di-sj§,CCV-CV-CYV,3.0233523043883657
génération,ZeneRasj§,génération,NOM,s,20.51,1,Ze-ne-Ra-sj§,CV-CV-CV-CYV,3.020917447742808
voile,vwal,voile,NOM,s,20.51,1,vwal,CYVC,3.020917447742808
plaque,plak,plaque,NOM,s,20.48,1,plak,CCVC,3.019453682971886
éducation,edykasj§,éducation,NOM,s,20.48,1,e-dy-ka-sj§,V-CV-CV-CYV,3.019453682971886
commandement,kom@d°m@,commandement,NOM,s,20.47,1,ko-m@-d°-m@,CV-CV-CV-CV,3.018965284859116
