parameter_name,parameter_value,error,metric,ID
delta,0.17473677649467248,587.7611681923479,slot_coding,12
overlap,0.2697825850201401,587.7611681923479,slot_coding,12
sigma,0.31659560147817156,587.7611681923479,slot_coding,12
tau,0.4133284743743224,587.7611681923479,slot_coding,12
b,2.787590705550615,587.7611681923479,slot_coding,12
base,0.04375285769653177,587.7611681923479,slot_coding,12
theta,1.1208480277937662,587.7611681923479,slot_coding,12
sim_ELI,0.39017906952433157,587.7611681923479,slot_coding,12
alpha,1.332370394807452,414.21952568239254,slot_coding,13
gamma,0.4475541712982183,414.21952568239254,slot_coding,13
delta,0.0010000000000502485,414.21952568239254,slot_coding,13
overlap,0.12155491277866141,414.21952568239254,slot_coding,13
sigma,0.3704848614078231,414.21952568239254,slot_coding,13
tau,9.975955875657831,414.21952568239254,slot_coding,13
b,2.5368000594054294,414.21952568239254,slot_coding,13
base,1.4184305380674616,414.21952568239254,slot_coding,13
theta,1.999999999999995,414.21952568239254,slot_coding,13
sim_ELI,0.9577136344608449,414.21952568239254,slot_coding,13
alpha,1.4859701408118267,698.4245922187114,slot_coding,14
gamma,0.15433058828292548,698.4245922187114,slot_coding,14
delta,0.02279060583988276,698.4245922187114,slot_coding,14
overlap,0.35395920886619897,698.4245922187114,slot_coding,14
sigma,0.39612132651563114,698.4245922187114,slot_coding,14
tau,1.2698817497280963,698.4245922187114,slot_coding,14
b,2.1080413228235333,698.4245922187114,slot_coding,14
base,7.277572132231321e-6,698.4245922187114,slot_coding,14
theta,1.998767196288459,698.4245922187114,slot_coding,14
sim_ELI,0.4079538814102351,698.4245922187114,slot_coding,14
alpha,5.995904711702934,858.7461276431404,slot_coding,15
gamma,0.48295767730098077,858.7461276431404,slot_coding,15
delta,0.1121149616639107,858.7461276431404,slot_coding,15
overlap,0.2597562872319164,858.7461276431404,slot_coding,15
sigma,0.8080852595039586,858.7461276431404,slot_coding,15
tau,2.6016363034433954,858.7461276431404,slot_coding,15
b,3.197495838689993,858.7461276431404,slot_coding,15
base,0.2799235283844101,858.7461276431404,slot_coding,15
theta,1.999969466445177,858.7461276431404,slot_coding,15
sim_ELI,0.40845728105126583,858.7461276431404,slot_coding,15
alpha,5.998877392172789,684.1479378832471,slot_coding,16
gamma,0.48643033370989464,684.1479378832471,slot_coding,16
delta,0.23743900160841774,684.1479378832471,slot_coding,16
overlap,0.23354897404313374,684.1479378832471,slot_coding,16
sigma,0.38090107957308006,684.1479378832471,slot_coding,16
tau,0.7027641431062275,684.1479378832471,slot_coding,16
b,4.748479571772682,684.1479378832471,slot_coding,16
base,0.9239687324744419,684.1479378832471,slot_coding,16
theta,1.9995283737366814,684.1479378832471,slot_coding,16
sim_ELI,0.6051529836515797,684.1479378832471,slot_coding,16
alpha,1.255240255731092,467.8574591764054,slot_coding,17
gamma,0.05752754625843245,467.8574591764054,slot_coding,17
delta,0.0010000434174194008,467.8574591764054,slot_coding,17
overlap,0.0010307490244664784,467.8574591764054,slot_coding,17
sigma,0.4718270032154279,467.8574591764054,slot_coding,17
tau,0.39568434836149885,467.8574591764054,slot_coding,17
b,4.661209631262673,467.8574591764054,slot_coding,17
base,0.7837766577653821,467.8574591764054,slot_coding,17
theta,1.9991516278912003,467.8574591764054,slot_coding,17
sim_ELI,0.9017427470614778,467.8574591764054,slot_coding,17
alpha,2.0689790189449195,665.8232058357712,slot_coding,18
gamma,0.460971742153023,665.8232058357712,slot_coding,18
delta,0.0010000000000180069,665.8232058357712,slot_coding,18
overlap,0.10844259003398098,665.8232058357712,slot_coding,18
sigma,0.42275899562484426,665.8232058357712,slot_coding,18
tau,9.989571034172444,665.8232058357712,slot_coding,18
b,1.7645443842224635,665.8232058357712,slot_coding,18
base,0.7912593221487353,665.8232058357712,slot_coding,18
theta,1.9999999999999734,665.8232058357712,slot_coding,18
sim_ELI,0.848173949472549,665.8232058357712,slot_coding,18
alpha,5.984971367320701,726.410122561438,slot_coding,19
