slot_coding,levenshtein,syllable,closed_biphone,open_biphone_1,condition,metric
0.6,0.6,0.33333333333333337,0.3333333333333333,0.3333333333333333,similar,slot_coding
0.6,0.6,0.16666666666666663,0.3333333333333333,0.3333333333333333,similar,slot_coding
0.6,0.6,0.33333333333333337,0.3333333333333333,0.3333333333333333,similar,slot_coding
0.75,0.75,0.33333333333333337,0.6,0.5714285714285714,similar,slot_coding
0.6,0.6,0.5,0.3333333333333333,0.3333333333333333,similar,slot_coding
0.6,0.6,0.33333333333333337,0.3333333333333333,0.3333333333333333,similar,slot_coding
0.6,0.6,0.33333333333333337,0.3333333333333333,0.3333333333333333,similar,slot_coding
0.6,0.6,0.33333333333333337,0.3333333333333333,0.3333333333333333,similar,slot_coding
0.6,0.6,0.1428571428571429,0.3333333333333333,0.3333333333333333,similar,slot_coding
0.6,0.6,0.33333333333333337,0.3333333333333333,0.3333333333333333,similar,slot_coding
0.6,0.6,0.6,0.3333333333333333,0.3333333333333333,similar,slot_coding
0.6,0.6,0.33333333333333337,0.3333333333333333,0.3333333333333333,similar,slot_coding
0.75,0.75,0.75,0.6,0.5714285714285714,similar,slot_coding
0.6,0.6,0.1428571428571429,0.3333333333333333,0.3333333333333333,similar,slot_coding
0.6,0.6,0.1428571428571429,0.3333333333333333,0.3333333333333333,similar,slot_coding
0.6,0.6,0.2857142857142857,0.5,0.4444444444444444,similar,slot_coding
0.6,0.6,0.33333333333333337,0.3333333333333333,0.3333333333333333,similar,slot_coding
0.6,0.6,0.33333333333333337,0.3333333333333333,0.3333333333333333,similar,slot_coding
0.75,0.75,0.4,0.6,0.5714285714285714,similar,slot_coding
0.6,0.6,0.33333333333333337,0.3333333333333333,0.3333333333333333,similar,slot_coding
0.6,0.6,0.0,0.3333333333333333,0.3333333333333333,similar,slot_coding
0.6,0.6,0.33333333333333337,0.3333333333333333,0.3333333333333333,similar,slot_coding
0.6,0.6,0.6,0.3333333333333333,0.3333333333333333,similar,slot_coding
0.6,0.6,0.33333333333333337,0.3333333333333333,0.3333333333333333,similar,slot_coding
0.8,0.8,0.5,0.6666666666666666,0.6666666666666666,similar,slot_coding
0.6,0.6,0.1428571428571429,0.3333333333333333,0.3333333333333333,similar,slot_coding
0.6,0.6,0.2857142857142857,0.3333333333333333,0.3333333333333333,similar,slot_coding
0.6,0.6,0.1428571428571429,0.3333333333333333,0.3333333333333333,similar,slot_coding
0.75,0.75,0.75,0.6,0.5714285714285714,similar,slot_coding
0.6,0.6,0.1428571428571429,0.3333333333333333,0.3333333333333333,similar,slot_coding
0.6,0.6,0.1428571428571429,0.3333333333333333,0.3333333333333333,similar,slot_coding
0.6,0.6,0.6,0.3333333333333333,0.3333333333333333,similar,slot_coding
0.6,0.6,0.1428571428571429,0.3333333333333333,0.3333333333333333,similar,slot_coding
0.6,0.6,0.1428571428571429,0.3333333333333333,0.3333333333333333,similar,slot_coding
0.6,0.6,0.1428571428571429,0.3333333333333333,0.3333333333333333,similar,slot_coding
0.75,0.75,0.75,0.6,0.5714285714285714,similar,slot_coding
0.6,0.6,0.1428571428571429,0.3333333333333333,0.3333333333333333,similar,slot_coding
0.8,0.8,0.8,0.6666666666666666,0.6666666666666666,similar,slot_coding
0.6,0.6,0.1428571428571429,0.3333333333333333,0.3333333333333333,similar,slot_coding
0.6,0.6,0.2857142857142857,0.3333333333333333,0.3333333333333333,similar,slot_coding
0.6,0.6,0.6,0.3333333333333333,0.3333333333333333,similar,slot_coding
0.6,0.6,0.33333333333333337,0.3333333333333333,0.3333333333333333,similar,slot_coding
0.6,0.6,0.0,0.3333333333333333,0.3333333333333333,similar,slot_coding
0.6,0.6,0.33333333333333337,0.3333333333333333,0.3333333333333333,similar,slot_coding
0.8,0.8,0.5,0.6666666666666666,0.6666666666666666,similar,slot_coding
0.6,0.6,0.33333333333333337,0.3333333333333333,0.3333333333333333,similar,slot_coding
0.6,0.6,0.6,0.3333333333333333,0.3333333333333333,similar,slot_coding
0.6,0.6,0.33333333333333337,0.3333333333333333,0.3333333333333333,similar,slot_coding
0.0,0.19999999999999996,0.1428571428571429,0.16666666666666666,0.1111111111111111,dissimilar,slot_coding
0.0,0.0,0.16666666666666663,0.0,0.0,dissimilar,slot_coding
0.0,0.19999999999999996,0.1428571428571429,0.16666666666666666,0.1111111111111111,dissimilar,slot_coding
0.2,0.19999999999999996,0.0,0.0,0.0,dissimilar,slot_coding
0.2,0.19999999999999996,0.16666666666666663,0.16666666666666666,0.1111111111111111,dissimilar,slot_coding
0.0,0.0,0.0,0.0,0.0,dissimilar,slot_coding
0.6,0.6,0.6,0.3333333333333333,0.3333333333333333,dissimilar,slot_coding
0.2,0.19999999999999996,0.16666666666666663,0.16666666666666666,0.1111111111111111,dissimilar,slot_coding
0.0,0.0,0.0,0.0,0.0,dissimilar,slot_coding
0.2,0.19999999999999996,0.16666666666666663,0.16666666666666666,0.2222222222222222,dissimilar,slot_coding
0.0,0.0,0.0,0.0,0.0,dissimilar,slot_coding
0.0,0.0,0.0,0.0,0.0,dissimilar,slot_coding
0.0,0.0,0.0,0.0,0.0,dissimilar,slot_coding
0.0,0.0,0.0,0.0,0.0,dissimilar,slot_coding
0.0,0.0,0.0,0.0,0.0,dissimilar,slot_coding
0.0,0.0,0.0,0.0,0.0,dissimilar,slot_coding
0.0,0.0,0.0,0.0,0.0,dissimilar,slot_coding
0.0,0.0,0.0,0.0,0.0,dissimilar,slot_coding
0.0,0.0,0.0,0.0,0.0,dissimilar,slot_coding
